,title,moreInfo,systems,genres,playModes,themes,series,playerPerspectives,imageLink,memberRating,gameDescription
44,7th Sector,https://www.igdb.com/games/7th-sector,Eighth Generation,Adventure - Indie,Single player,Action,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1zxw.jpg,78,"7th Sector invites you to immerse into the mysterious world of cyberpunk and overcome a difficult path by solving various technical puzzles, facing dangers and collecting information about the world and the events happening in it."
45,8-Bit Hordes,https://www.igdb.com/games/8-bit-hordes,Eighth Generation,Indie - Real Time Strategy (RTS) - Simulator - Strategy,Co-operative - Multiplayer - Single player,Fantasy - Historical,8-Bit,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co267r.jpg,73,"From the team that brought you 8-Bit Armies comes a new fantasy RTS as fast-paced and friendly as the original! 8-BIT HORDES is a colorful strategy-arcade game that is easy to learn for players of all skill levels. Collect resources, build up and defend your base, amass your army of orcs or humans and ultimately crush your opponents! 8-Bit Hordes features offline single-player missions, two-player cooperative missions, AI skirmish mode, and Player-vs-Player Multiplayer modes running on dedicated game servers."
46,88 Heroes,https://www.igdb.com/games/88-heroes,Eighth Generation,Indie - Platform,Single player,Action - Science fiction,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co22jn.jpg,77,"""88 Heroes is a chaotic 2D platformer where each level completed or untimely death brings a new hero into the action! With just 88 minutes to complete all 88 rooms you'll need every one of the 88 Heroes to stop Dr. H8 destroying the Earth!""""The ""88 Heroes"" - eighty-eight of the strangest and seemingly most pointless superheroes ever to grace the face of the earth.'They called the best, but the best were busy!'"""
47,8Days,https://www.igdb.com/games/8days,Eighth Generation,Arcade - Indie,Co-operative - Multiplayer - Single player,Action,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co24vp.jpg,55,"Join the mercenary forces of G.O.D. Inc where you get to play as 1 of 2 expendables, Mike or Lola. Fight against global nuclear threats, Middle East fighters and city riots whilst travelling to the most dangerous places unimaginable. Gear up for this top down 8bit shooter thrill ride!!"
48,9 Monkeys of Shaolin,https://www.igdb.com/games/9-monkeys-of-shaolin,Eighth Generation,Adventure - Hack and slash/Beat 'em up - Indie - Role-playing (RPG),Co-operative - Multiplayer - Single player,Action,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co1xlo.jpg,60,"9 Monkeys of Shaolin marks a true rebirth of the iconic brawler genre in vein of old-school video games. If, as a kid you had hours of fun playing SNES or SEGA beat 'em up videogames crushing foes left and right then this new title from the creators of hardcore brawler REDEEMER is definitely for you!As a mere Chinese fisherman Wei Cheng you have to avenge the death of your friends and family slaughtered in a pirate raid at your peaceful village. Game protagonist is quite a tough nut to crack as he knows the basics of ancient martial arts only mastered by legendary Shaolin monks. Get your trusty battle staff ready for a challenging adventure in Medieval China and for merciless fights with hordes of various enemies.Action-packed battles, user friendly controls and incredible atmosphere of great kung-fu movies of 70s – all this makes 9 Monkeys of Shaolin a perfect choice for every true fan of really hardcore brawlers."
49,The Outer Worlds,https://www.igdb.com/games/the-outer-worlds,Eighth Generation,Role-playing (RPG) - Shooter,Single player,Open world - Science fiction,,First person,https://images.igdb.com/igdb/image/upload/t_cover_big/co2eew.jpg,86,"The Outer Worlds is a new single-player sci-fi RPG from Obsidian Entertainment and Private Division. As you explore the furthest reaches of space and encounter a host of factions all vying for power, who you decide to become will determine the fate of everyone in Halcyon. In the corporate equation for the colony, you are the unplanned variable."
50,911 Operator,https://www.igdb.com/games/911-operator,Eighth Generation,Indie - Simulator - Strategy,Single player,,,Bird view / Isometric,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gjv.jpg,76,"911 Operator is a game about the difficult work of people that manage emergency lines and services. Main task is to answer incoming calls and to react properly - give first aid instructions, advise, dispatch correct number of firemen / police / ambulances, or sometimes just ignore the call."
51,99Vidas,https://www.igdb.com/games/99vidas,Seventh Generation,Arcade - Fighting - Hack and slash/Beat 'em up - Indie,Co-operative - Multiplayer - Single player,Action - Comedy,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ix2.jpg,59,"""99Vidas"" is a ""beat 'em up"" set in a contemporary world that pays tribute to both the new and the classic in gaming industry. Brought to you in all pixelated, 16 bit-esque glory, chockfull of references to not only gaming, but all 80's and 90's pop culture.99Vidas is set in a fictional anachronic universe, inspired by video games and the pop culture of the 1980s and 1990s. The game begins when an artifact known as 99Vidas goes missing. This artifact is believed to hold such great power it could bring darkness and chaos to our very existence, should it ever fall into the hands of those with evil intents.As the Guardians of the 99Vidas, granted the Power of the Elements, bound to live through the ages to protect the artifact, it is your responsibility to face the forces of evil, defeat the Evil Boss and his six henchmen, and retrieve the 99Vidas."
52,A Bastard's Tale,https://www.igdb.com/games/a-bastards-tale,Eighth Generation,Adventure - Arcade - Indie,Single player,Action - Historical,,,https://images.igdb.com/igdb/image/upload/t_cover_big/po24ky90kbn0jthpu5pq.jpg,57,"A game about parrying, attacking, and overcoming difficult foes"
53,A Boy and His Blob,https://www.igdb.com/games/a-boy-and-his-blob--1,Seventh Generation,Adventure - Platform - Puzzle,Single player,,A Boy and His Blob,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1omr.jpg,53,"When Blobolonia is threatened by an evil Emperor, the blob comes to Earth looking for help. Instead, he finds a young boy. Help the blob dethrone the evil Emperor that's terrorizing Blobolonia and establish a friendship with the blob that will last a lifetime."
54,A Boy and His Blob,https://www.igdb.com/games/a-boy-and-his-blob--1,Seventh Generation,Adventure - Platform - Puzzle,Single player,,A Boy and His Blob,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co1omr.jpg,53,"When Blobolonia is threatened by an evil Emperor, the blob comes to Earth looking for help. Instead, he finds a young boy. Help the blob dethrone the evil Emperor that's terrorizing Blobolonia and establish a friendship with the blob that will last a lifetime."
55,A Fold Apart,https://www.igdb.com/games/a-fold-apart,Eighth Generation,Adventure - Indie - Platform - Puzzle - Strategy,Co-operative - Single player,Drama,,Side view,https://images.igdb.com/igdb/image/upload/t_cover_big/co2jxq.jpg,73,"Lightning Rod Games presents A Fold Apart: an award-winning puzzle game that explores the emotional rollercoaster of a long-distance relationship — in a world of folding paper!Featuring:- A relatable, true-to-life story of a long-distance relationship.- Over fifty handcrafted paper folding puzzles.- Beautiful 3D graphics with a tactile, “homemade” paper aesthetic.- The ability to choose the couple that best represents you!After career choices force them along separate paths, a Teacher and Architect vow to make their long-distance relationship work at any cost. Experience both sides of their story as the couple navigates the complexities of (mis)communication and the emotional ups and downs that separation brings. By flipping, folding, and unfolding the paper puzzles in their handcrafted worlds, you can help the couple overcome the emotional barriers of their relationship — but will love endure. ?"
56,A Hat in Time,https://www.igdb.com/games/a-hat-in-time,Eighth Generation,Adventure - Indie - Platform,Co-operative - Multiplayer - Single player,Action - Fantasy,,First person - Third person,https://images.igdb.com/igdb/image/upload/t_cover_big/co1r5j.jpg,80,"A Hat in Time is a 3D collect-a-thon platformer in the spirit of the beloved Nintendo and Rare games from the Nintendo 64 era. Think Banjo-Kazooie, The Legend of Zelda and Super Mario 64 all in one! The game features Hat Kid, a girl who travels time and space to protect the world from the evil Mustache Girl!"
57,A Hole New World,https://www.igdb.com/games/a-hole-new-world,Eighth Generation,Arcade - Indie - Platform,Single player,Action,,,https://images.igdb.com/igdb/image/upload/t_cover_big/co1ljk.jpg,74,"The city is being invaded by monsters from the Upside Down World! You, the Potion Master, must defeat evil all alone, with no tutorials or ""Easy Mode"" to assist you. You'll have to rely on the help of Fäy, your companion fairy, and your potions!"
